Unnamed: 0,Year,Rank,Title,Artist,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
43,2012,44,Scream,Usher,12eMQUn2GzfsfsQLH53M19,63,0.616,0.862,7,-5.18,0,0.0973,0.00117,0.0,0.179,0.569,127.992,audio_features,12eMQUn2GzfsfsQLH53M19,spotify:track:12eMQUn2GzfsfsQLH53M19,https://api.spotify.com/v1/tracks/12eMQUn2GzfsfsQLH53M19,https://api.spotify.com/v1/audio-analysis/12eMQUn2GzfsfsQLH53M19,234693,4
44,2012,45,Rack City,Tyga,0srwKuJPH8yBzzFUJMBQM2,64,0.929,0.339,1,-10.881,1,0.371,0.0373,1.96e-05,0.187,0.273,98.986,audio_features,0srwKuJPH8yBzzFUJMBQM2,spotify:track:0srwKuJPH8yBzzFUJMBQM2,https://api.spotify.com/v1/tracks/0srwKuJPH8yBzzFUJMBQM2,https://api.spotify.com/v1/audio-analysis/0srwKuJPH8yBzzFUJMBQM2,203200,4
45,2012,46,Domino,Jessie J,6MAdEUilV2p9RQUqE5bMAK,63,0.757,0.547,7,-4.573,1,0.0355,0.0115,0.0,0.0445,0.793,126.977,audio_features,6MAdEUilV2p9RQUqE5bMAK,spotify:track:6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/tracks/6MAdEUilV2p9RQUqE5bMAK,https://api.spotify.com/v1/audio-analysis/6MAdEUilV2p9RQUqE5bMAK,231693,4
46,2012,47,Gangnam Style,Psy,03UrZgTINDqvnUMbbIMhql,71,0.727,0.937,11,-2.871,0,0.286,0.00417,0.0,0.091,0.749,132.067,audio_features,03UrZgTINDqvnUMbbIMhql,spotify:track:03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/tracks/03UrZgTINDqvnUMbbIMhql,https://api.spotify.com/v1/audio-analysis/03UrZgTINDqvnUMbbIMhql,219493,4
47,2012,48,International Love,Pitbull feat Chris Brown,62zFEHfAYl5kdHYOivj4BC,73,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,audio_features,62zFEHfAYl5kdHYOivj4BC,spotify:track:62zFEHfAYl5kdHYOivj4BC,https://api.spotify.com/v1/tracks/62zFEHfAYl5kdHYOivj4BC,https://api.spotify.com/v1/audio-analysis/62zFEHfAYl5kdHYOivj4BC,227280,4
48,2012,49,Home,Phillip Phillips,1EAgPzRbK9YmdOESSMUm6P,69,0.606,0.826,0,-6.04,1,0.0307,0.0256,1.56e-05,0.117,0.322,121.04,audio_features,1EAgPzRbK9YmdOESSMUm6P,spotify:track:1EAgPzRbK9YmdOESSMUm6P,https://api.spotify.com/v1/tracks/1EAgPzRbK9YmdOESSMUm6P,https://api.spotify.com/v1/audio-analysis/1EAgPzRbK9YmdOESSMUm6P,210173,4
49,2012,50,Without You,David Guetta feat Usher,1tAutlhI9FwnKn7fVgmd5P,61,0.608,0.614,2,-3.727,1,0.0285,0.227,3.82e-06,0.157,0.402,127.885,audio_features,1tAutlhI9FwnKn7fVgmd5P,spotify:track:1tAutlhI9FwnKn7fVgmd5P,https://api.spotify.com/v1/tracks/1tAutlhI9FwnKn7fVgmd5P,https://api.spotify.com/v1/audio-analysis/1tAutlhI9FwnKn7fVgmd5P,208133,4
50,2012,51,Ass Back Home,Gym Class Heroes feat Neon Hitch,3bfqkspKABT4pPicm6wC9F,57,0.716,0.838,10,-4.289,1,0.0513,0.134,0.0,0.148,0.646,130.034,audio_features,3bfqkspKABT4pPicm6wC9F,spotify:track:3bfqkspKABT4pPicm6wC9F,https://api.spotify.com/v1/tracks/3bfqkspKABT4pPicm6wC9F,https://api.spotify.com/v1/audio-analysis/3bfqkspKABT4pPicm6wC9F,222213,4
51,2012,52,Wanted,Hunter Hayes,0p1BcEcYVO3uk4KDf3gzkY,63,0.421,0.476,0,-7.692,1,0.0298,0.268,0.0,0.0816,0.3,169.784,audio_features,0p1BcEcYVO3uk4KDf3gzkY,spotify:track:0p1BcEcYVO3uk4KDf3gzkY,https://api.spotify.com/v1/tracks/0p1BcEcYVO3uk4KDf3gzkY,https://api.spotify.com/v1/audio-analysis/0p1BcEcYVO3uk4KDf3gzkY,228840,4
52,2012,53,Drunk on You,Luke Bryan,3kv6omImmKEfOVJWjstusF,62,0.558,0.872,9,-4.401,1,0.0449,0.178,0.0,0.173,0.472,143.971,audio_features,3kv6omImmKEfOVJWjstusF,spotify:track:3kv6omImmKEfOVJWjstusF,https://api.spotify.com/v1/tracks/3kv6omImmKEfOVJWjstusF,https://api.spotify.com/v1/audio-analysis/3kv6omImmKEfOVJWjstusF,213547,4
53,2012,54,No Lie,2 Chainz feat Drake,5ytIlNvPVE0V1G8hicaAv8,4,0.708,0.577,6,-7.551,0,0.0583,0.375,0.887,0.105,0.919,131.023,audio_features,5ytIlNvPVE0V1G8hicaAv8,spotify:track:5ytIlNvPVE0V1G8hicaAv8,https://api.spotify.com/v1/tracks/5ytIlNvPVE0V1G8hicaAv8,https://api.spotify.com/v1/audio-analysis/5ytIlNvPVE0V1G8hicaAv8,236000,4
54,2012,55,Want U Back,Cher Lloyd,6E11E0lT5Zy7yb6iT3y8DN,61,0.694,0.891,9,-2.94,1,0.0949,0.0562,0.0,0.561,0.563,97.939,audio_features,6E11E0lT5Zy7yb6iT3y8DN,spotify:track:6E11E0lT5Zy7yb6iT3y8DN,https://api.spotify.com/v1/tracks/6E11E0lT5Zy7yb6iT3y8DN,https://api.spotify.com/v1/audio-analysis/6E11E0lT5Zy7yb6iT3y8DN,214573,4
55,2012,56,Don't Wake Me Up,Chris Brown,18VfHIPaCo0s6FTi1Fnp6T,61,0.602,0.691,7,-5.197,0,0.051,0.0548,0.0,0.144,0.206,127.967,audio_features,18VfHIPaCo0s6FTi1Fnp6T,spotify:track:18VfHIPaCo0s6FTi1Fnp6T,https://api.spotify.com/v1/tracks/18VfHIPaCo0s6FTi1Fnp6T,https://api.spotify.com/v1/audio-analysis/18VfHIPaCo0s6FTi1Fnp6T,222307,4
56,2012,57,Dance (A$$),Big Sean feat Nicki Minaj,3WnWm2WUgfyPFVpV36JJNV,26,0.803,0.642,8,-6.589,0,0.35,0.0439,0.00143,0.0385,0.633,159.853,audio_features,3WnWm2WUgfyPFVpV36JJNV,spotify:track:3WnWm2WUgfyPFVpV36JJNV,https://api.spotify.com/v1/tracks/3WnWm2WUgfyPFVpV36JJNV,https://api.spotify.com/v1/audio-analysis/3WnWm2WUgfyPFVpV36JJNV,218481,4
57,2012,58,Springsteen,Eric Church,05ZACkzW8YbRq3eFgIfSNB,70,0.692,0.809,2,-5.935,1,0.0255,0.1,9.77e-05,0.185,0.927,104.023,audio_features,05ZACkzW8YbRq3eFgIfSNB,spotify:track:05ZACkzW8YbRq3eFgIfSNB,https://api.spotify.com/v1/tracks/05ZACkzW8YbRq3eFgIfSNB,https://api.spotify.com/v1/audio-analysis/05ZACkzW8YbRq3eFgIfSNB,263387,4
